,CO,NO,NO2,NOx,O3,PM2.5
0,4.2,1.0,15.0,16.0,8.0,-2.0
1,4.2,0.0,11.0,11.0,10.0,17.0
2,4.2,0.0,12.0,12.0,8.0,-10.0
3,,,,,,0.0
4,4.6,8.0,17.0,25.0,2.0,6.0
5,7.6,34.0,24.0,57.0,0.0,4.0
6,12.3,66.0,26.0,92.0,0.0,16.0
7,11.6,57.0,26.0,83.0,1.0,13.0
8,8.1,38.0,32.0,70.0,4.0,10.0
9,8.2,51.0,36.0,87.0,5.0,8.0
10,6.2,24.0,25.0,49.0,11.0,19.0
11,3.1,2.0,8.0,10.0,31.0,5.0
12,3.5,3.0,11.0,14.0,33.0,6.0
13,3.5,6.0,15.0,21.0,31.0,10.0
14,3.5,3.0,13.0,17.0,34.0,17.0
15,3.6,3.0,14.0,17.0,34.0,7.0
16,4.1,2.0,17.0,19.0,32.0,8.0
17,5.2,2.0,25.0,27.0,18.0,5.0
18,7.1,8.0,36.0,44.0,3.0,4.0
19,7.4,10.0,34.0,45.0,1.0,8.0
20,7.3,15.0,29.0,45.0,0.0,10.0
21,7.2,31.0,31.0,62.0,0.0,9.0
22,5.5,10.0,27.0,37.0,1.0,6.0
23,5.9,14.0,25.0,39.0,0.0,9.0
24,5.6,12.0,21.0,33.0,0.0,9.0
25,5.0,4.0,18.0,22.0,2.0,2.0
26,5.1,5.0,17.0,22.0,2.0,2.0
27,,,,,,24.0
28,5.8,13.0,18.0,31.0,0.0,-4.0
29,7.9,30.0,19.0,49.0,0.0,-2.0
30,14.4,79.0,25.0,105.0,0.0,29.0
31,12.2,49.0,23.0,72.0,1.0,10.0
32,6.7,37.0,24.0,62.0,4.0,27.0
33,5.5,20.0,20.0,40.0,9.0,18.0
34,5.9,19.0,23.0,42.0,11.0,16.0
35,5.6,16.0,22.0,38.0,15.0,11.0
36,5.4,16.0,24.0,39.0,16.0,12.0
37,4.8,10.0,19.0,29.0,20.0,11.0
38,3.8,4.0,13.0,17.0,26.0,12.0
39,3.3,2.0,8.0,10.0,28.0,16.0
40,4.0,3.0,15.0,17.0,16.0,15.0
41,4.8,6.0,24.0,29.0,5.0,10.0
42,6.2,13.0,28.0,41.0,0.0,6.0
43,6.0,9.0,27.0,36.0,1.0,9.0
44,7.9,27.0,25.0,52.0,1.0,12.0
45,7.0,13.0,23.0,35.0,0.0,11.0
46,6.8,17.0,20.0,36.0,0.0,12.0
47,6.5,9.0,19.0,28.0,0.0,10.0
48,5.4,2.0,16.0,18.0,3.0,-3.0
49,5.2,1.0,13.0,13.0,5.0,15.0
50,5.4,1.0,11.0,11.0,6.0,-2.0
51,,,,,,4.0
