,CO,NO,NO2,NOx,O3,PM2.5
0,6.1,5.0,30.0,36.0,3.0,8.0
1,4.9,3.0,28.0,31.0,3.0,16.0
2,5.6,9.0,31.0,40.0,1.0,13.0
3,,,,,,12.0
4,6.0,21.0,30.0,51.0,1.0,14.0
5,7.9,63.0,31.0,94.0,1.0,13.0
6,9.8,82.0,34.0,115.0,2.0,15.0
7,9.3,89.0,35.0,124.0,2.0,18.0
8,7.9,74.0,33.0,107.0,3.0,19.0
9,5.4,46.0,29.0,75.0,7.0,13.0
10,3.9,26.0,24.0,49.0,12.0,8.0
11,4.3,22.0,24.0,46.0,15.0,9.0
12,3.6,8.0,18.0,26.0,25.0,6.0
13,3.6,7.0,18.0,26.0,29.0,4.0
14,3.2,3.0,13.0,16.0,35.0,7.0
15,3.4,2.0,12.0,14.0,34.0,8.0
16,3.6,2.0,15.0,17.0,28.0,7.0
17,3.6,1.0,15.0,17.0,18.0,8.0
18,4.0,2.0,17.0,19.0,14.0,8.0
19,3.9,1.0,17.0,18.0,10.0,13.0
20,4.2,1.0,18.0,19.0,8.0,17.0
21,5.8,5.0,23.0,29.0,4.0,9.0
22,6.3,8.0,23.0,32.0,2.0,12.0
23,3.6,1.0,13.0,14.0,10.0,12.0
24,2.8,0.0,10.0,10.0,14.0,7.0
25,3.2,1.0,13.0,14.0,10.0,5.0
26,2.9,0.0,13.0,14.0,9.0,5.0
27,,,,,,5.0
28,3.8,6.0,19.0,26.0,3.0,6.0
29,3.7,5.0,19.0,24.0,4.0,9.0
30,7.0,34.0,25.0,58.0,1.0,9.0
31,9.1,56.0,29.0,85.0,3.0,16.0
32,5.7,43.0,26.0,68.0,5.0,18.0
33,5.1,41.0,25.0,66.0,7.0,17.0
34,4.5,22.0,20.0,42.0,11.0,9.0
35,3.9,10.0,14.0,23.0,19.0,8.0
36,3.0,4.0,9.0,14.0,25.0,11.0
37,3.2,4.0,10.0,14.0,27.0,8.0
38,3.2,5.0,11.0,16.0,21.0,13.0
39,3.4,4.0,10.0,14.0,20.0,12.0
40,3.5,2.0,12.0,13.0,17.0,9.0
41,4.4,1.0,18.0,20.0,12.0,7.0
42,5.8,4.0,26.0,29.0,6.0,19.0
43,6.6,7.0,27.0,34.0,5.0,15.0
44,9.2,17.0,31.0,48.0,2.0,24.0
45,8.7,17.0,28.0,45.0,2.0,26.0
46,5.8,3.0,24.0,27.0,4.0,14.0
47,5.1,2.0,22.0,25.0,5.0,14.0
48,5.9,5.0,24.0,30.0,2.0,11.0
49,5.5,5.0,24.0,29.0,3.0,9.0
50,6.7,12.0,26.0,38.0,2.0,11.0
51,,,,,,11.0
52,4.8,9.0,22.0,30.0,2.0,10.0
53,5.0,13.0,22.0,35.0,1.0,7.0
54,5.3,20.0,24.0,44.0,2.0,8.0
55,8.4,39.0,29.0,68.0,4.0,14.0
56,6.2,24.0,22.0,46.0,9.0,13.0
57,4.7,16.0,19.0,34.0,12.0,11.0
58,4.5,17.0,21.0,37.0,14.0,8.0
59,4.2,9.0,17.0,26.0,22.0,8.0
60,2.8,2.0,7.0,9.0,32.0,7.0
61,2.4,2.0,6.0,7.0,31.0,4.0
62,3.1,3.0,9.0,13.0,25.0,8.0
63,3.0,3.0,10.0,13.0,21.0,9.0
64,4.0,2.0,15.0,17.0,16.0,10.0
65,4.7,1.0,19.0,21.0,9.0,12.0
66,5.5,2.0,23.0,25.0,6.0,16.0
67,6.7,5.0,25.0,30.0,5.0,20.0
68,6.0,3.0,24.0,26.0,5.0,25.0
69,6.8,6.0,25.0,31.0,2.0,17.0
70,7.3,9.0,26.0,34.0,2.0,14.0
71,8.6,16.0,25.0,41.0,3.0,21.0
72,4.1,0.0,14.0,14.0,11.0,13.0
73,4.2,0.0,13.0,13.0,13.0,12.0
74,2.4,0.0,3.0,4.0,24.0,14.0
75,,,,,,12.0
76,2.2,0.0,3.0,3.0,28.0,13.0
77,2.1,0.0,4.0,5.0,26.0,10.0
78,2.3,0.0,3.0,3.0,29.0,10.0
79,3.0,1.0,7.0,7.0,26.0,8.0
80,3.5,3.0,9.0,11.0,24.0,12.0
81,3.5,4.0,10.0,14.0,23.0,17.0
82,2.6,2.0,5.0,8.0,27.0,12.0
83,2.2,2.0,4.0,6.0,31.0,15.0
84,2.3,1.0,3.0,4.0,33.0,13.0
85,2.4,1.0,4.0,5.0,34.0,14.0
86,2.3,1.0,4.0,5.0,34.0,11.0
87,2.3,1.0,5.0,6.0,34.0,11.0
88,2.4,0.0,5.0,6.0,36.0,10.0
89,2.7,0.0,8.0,8.0,34.0,11.0
90,2.3,0.0,6.0,6.0,35.0,6.0
91,2.6,0.0,8.0,8.0,31.0,10.0
92,2.9,0.0,9.0,10.0,27.0,7.0
93,3.4,0.0,13.0,13.0,20.0,8.0
94,2.7,0.0,10.0,10.0,20.0,10.0
95,2.3,0.0,7.0,7.0,24.0,9.0
96,2.1,0.0,6.0,6.0,24.0,6.0
97,2.6,0.0,10.0,10.0,19.0,3.0
98,2.2,0.0,7.0,8.0,20.0,4.0
99,,,,,,6.0
100,3.1,2.0,19.0,21.0,7.0,4.0
101,4.1,8.0,22.0,30.0,3.0,6.0
102,5.8,20.0,24.0,44.0,2.0,6.0
103,9.0,39.0,29.0,68.0,4.0,12.0
104,5.4,22.0,24.0,46.0,9.0,15.0
105,5.1,27.0,24.0,51.0,10.0,14.0
106,5.3,30.0,26.0,56.0,11.0,15.0
107,3.9,12.0,16.0,28.0,22.0,10.0
108,2.7,3.0,8.0,11.0,30.0,10.0
109,2.8,3.0,8.0,10.0,33.0,8.0
110,2.9,3.0,8.0,11.0,32.0,13.0
111,3.0,1.0,7.0,9.0,33.0,11.0
112,3.4,1.0,11.0,12.0,29.0,9.0
113,4.9,1.0,20.0,21.0,18.0,10.0
114,4.2,0.0,16.0,16.0,20.0,14.0
115,3.7,0.0,15.0,16.0,21.0,12.0
116,3.7,0.0,15.0,16.0,21.0,11.0
117,6.5,2.0,27.0,29.0,8.0,16.0
118,5.9,1.0,26.0,28.0,6.0,18.0
119,4.7,1.0,20.0,21.0,11.0,13.0
120,4.4,1.0,23.0,24.0,8.0,10.0
121,4.2,1.0,22.0,23.0,7.0,11.0
122,4.9,2.0,25.0,27.0,3.0,9.0
123,,,,,,8.0
124,5.6,14.0,26.0,40.0,1.0,6.0
125,6.7,23.0,27.0,50.0,1.0,8.0
126,7.8,25.0,26.0,51.0,1.0,9.0
